"SITE_ID","SITE_NAME","DEPTH","BATHYMETRY_AREA"
"FR-Gen","Geneva",0,580100000
"FR-Gen","Geneva",10,552375000
"FR-Gen","Geneva",20,532000000
"FR-Gen","Geneva",30,516000000
"FR-Gen","Geneva",40,497187500
"FR-Gen","Geneva",50,473875000
"FR-Gen","Geneva",60,447875000
"FR-Gen","Geneva",70,412500000
"FR-Gen","Geneva",80,390937500
"FR-Gen","Geneva",90,375500000
"FR-Gen","Geneva",100,360500000
"FR-Gen","Geneva",110,345000000
"FR-Gen","Geneva",120,329625000
"FR-Gen","Geneva",130,314750000
"FR-Gen","Geneva",140,300875000
"FR-Gen","Geneva",150,288312500
"FR-Gen","Geneva",160,275500000
"FR-Gen","Geneva",170,262375000
"FR-Gen","Geneva",180,250937500
"FR-Gen","Geneva",190,238687500
"FR-Gen","Geneva",200,225562500
"FR-Gen","Geneva",210,212437500
"FR-Gen","Geneva",220,199750000
"FR-Gen","Geneva",230,184750000
"FR-Gen","Geneva",240,168187500
"FR-Gen","Geneva",250,151062500
"FR-Gen","Geneva",260,132500000
"FR-Gen","Geneva",270,113312500
"FR-Gen","Geneva",280,98500000
"FR-Gen","Geneva",290,83375000
"FR-Gen","Geneva",300,67375000
